"L:1,W:1,dT:0.6,TT:50,ss_tol:0.01,dyn_tol:0.01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:50,M:aluminium,BC:False","T:50,M:aluminium,BC:False","T:50,M:aluminium,BC:False","T:50,M:aluminium,BC:False","T:50,M:aluminium,BC:False","T:50,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:True"
"T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:50,M:aluminium,BC:False","T:50,M:aluminium,BC:False","T:50,M:aluminium,BC:False","T:50,M:aluminium,BC:False","T:50,M:aluminium,BC:False","T:50,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:True"
"T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:True"
"T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:True"
"T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:True"
"T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:True"
"T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:True"
"T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:True"
"T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:True"
"T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:True"
"T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:True"
"T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:True"
"T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:True"
"T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:True"
"T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:True"
"T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:True"
"T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:True"
"T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:False","T:0,M:aluminium,BC:True"
"T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True","T:0,M:aluminium,BC:True"
